,,,,,,,
Tên công ty,Công ty Cổ phần Sữa Việt Nam,,,,,,
Tên báo cáo,Lịch sử giá,,,,,,
Ngày tải,15/03/2025,,,,,,
,,,,,,,
NGÀY,GIÁ MỞ CỬA,GIÁ CAO NHẤT,GIÁ THẤP NHẤT,GIÁ ĐÓNG CỬA,THAY ĐỔI GIÁ,% THAY ĐỔI,KHỐI LƯỢNG
03/04/2024,64533.2480270177,64533.2480270177,63957.9144636267,63957.9144636267,-600,-0.00891530460624068,5046100
02/04/2024,64245.5812453222,64629.1369542495,63957.9144636267,64533.2480270177,300,0.0044776119402985,4322900
01/04/2024,64820.9148087132,64916.803735945,64245.5812453222,64245.5812453222,-600,-0.00887573964497046,5013000
29/03/2024,65588.0262265677,65588.0262265677,64725.0258814813,64820.9148087132,-100,-0.00147710487444608,3694900
28/03/2024,64916.803735945,65588.0262265677,64820.9148087132,64916.803735945,0,0,4492200
27/03/2024,65204.4705176404,65204.4705176404,64725.0258814813,64916.803735945,0,0,2812100
26/03/2024,64629.1369542495,65108.5815904086,64533.2480270177,64916.803735945,400,0.00594353640416045,2524500
25/03/2024,65108.5815904086,65396.2483721041,64341.470172554,64533.2480270177,-500,-0.00737463126843663,5588600
22/03/2024,65779.8040810314,65875.6930082632,65012.6926631768,65012.6926631768,-600,-0.00877192982456143,6162600
21/03/2024,65396.2483721041,65683.9151537996,65108.5815904086,65588.0262265677,400,0.00588235294117645,5061700
20/03/2024,65012.6926631768,65779.8040810314,64725.0258814813,65204.4705176404,200,0.00294985250737456,3657800
19/03/2024,65683.9151537996,65683.9151537996,65012.6926631768,65012.6926631768,-100,-0.00147275405007363,3222100
18/03/2024,65971.581935495,66259.2487171905,64820.9148087132,65108.5815904086,-900,-0.0130813953488372,6796400
15/03/2024,67218.1379895088,67218.1379895088,65875.6930082632,65971.581935495,-800,-0.0114942528735632,4851100
14/03/2024,67212.0174185414,67496.0118583381,66549.3637256826,66738.6933522137,-300,-0.00423728813559321,5476400
13/03/2024,66360.0340991515,67117.3526052759,66265.3692858859,67022.6877920103,800,0.0114285714285713,5702600
12/03/2024,66644.0285389481,66833.3581654792,66265.3692858859,66265.3692858859,-300,-0.00426742532005686,3844000
11/03/2024,66738.6933522137,67496.0118583381,66265.3692858859,66549.3637256826,300,0.00428571428571423,4268400
08/03/2024,68253.3303644625,69010.6488705869,66265.3692858859,66265.3692858859,-2000,-0.0277777777777778,7361000
07/03/2024,67874.6711114003,68253.3303644625,67496.0118583381,68158.6655511969,200,0.00278551532033422,5217600
